metric,dtau_0p02,dtau_0p04,dtau_0p08,fine_vs_baseline_percent,coarse_vs_baseline_percent,full_span_percent_of_baseline,monotonic,raw_order,raw_zero_dtau_estimate,accepted_zero_dtau_estimate,fit_status,fine_vs_baseline_ppm,coarse_vs_baseline_ppm
relative_Bianchi_residual,0.004538437626932157,0.004538437626932157,0.004538437626932157,0.0,0.0,0.0,False,,,,NONMONOTONIC_OR_DEGENERATE,,
rho_relative_peak_error,0.037033850908382716,0.037033850908382716,0.037033850908382716,0.0,0.0,0.0,False,,,,NONMONOTONIC_OR_DEGENERATE,,
Hessian_Q_normalized_residual,0.01554677525624942,0.015545047560557315,0.015538146774409704,0.011114122908753948,-0.044392184203544516,0.05550630711229847,True,1.9979115945668064,0.015547352267695515,0.015547352267695515,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
HTR_normalized_residual,0.012707843162109761,0.012705486513730447,0.012696070421121537,0.018548273431066593,-0.07411044511152223,0.09265871854258882,True,1.9983919904134133,0.012708629880072691,0.012708629880072691,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
lambda_fit,0.01604866860899526,0.016046992783419523,0.016040293872608795,0.010443237548329792,-0.0417455837435782,0.052188821291907994,True,1.999054546556795,0.016049227705890675,0.016049227705890675,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
beta_fit,-1.0342945160505408,-1.0342960186715253,-1.034302023799197,0.0001452795870236587,-0.0005806004821795854,0.0007258800692032441,True,1.9987137634038366,-1.0342940145810307,-1.0342940145810307,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
action_over_fit,1.0000039506347518,1.0000040192679722,1.0000042943090572,-6.8632944586065756e-06,2.7503997955892068e-05,3.4367292414498646e-05,True,2.00266818507538,1.0000039278133397,1.0000039278133397,PROVISIONAL_THREE_STEP_EXTRAPOLATION,-0.06863322044026177,0.2750410850183016
action_fit_tensor_difference_percent,0.029447829361768825,0.029452344399313043,0.02947040307234202,-0.01532997673463006,0.061314891555454096,0.07664486829008416,True,1.9998819964908727,0.02944632418510864,0.02944632418510864,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
action_residual_penalty_percent,0.0003950634751781479,0.00040192679722217406,0.0004294309057240042,-1.7076049896300698,6.843064133050738,8.550669122680807,True,2.00266818507538,0.0003927813339634072,0.0003927813339634072,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
HTR_improvement_over_H,0.43018674559742853,0.4301795516876008,0.4301508039825145,0.00167230399481049,-0.006682722359428899,0.00835502635423939,True,1.9985988098956384,0.4301891466751964,0.4301891466751964,PROVISIONAL_THREE_STEP_EXTRAPOLATION,,
