cell_index,status,elapsed_seconds,current_rss_before_kib,current_rss_after_kib,max_rss_before_kib,max_rss_after_kib,array_bytes_after,array_count_after
1,PASS,0.2357177734375,83988,155636,83060,154712,0,0
3,PASS,0.015222311019897461,155640,155664,154712,154712,0,0
5,PASS,0.015526056289672852,155668,155688,154712,154712,0,0
7,PASS,0.015902280807495117,155700,155832,154712,155224,0,0
9,PASS,230.21323537826538,155836,169757420,155224,173314500,185811818184,12
11,PASS,2.055246591567993,169757428,169757420,173314500,173314500,185811818184,12
12,PASS,0.7932460308074951,169757428,170946652,173314500,173316588,187026274512,13
14,PASS,66.03284645080566,170946652,243283396,173316588,245632524,261108110520,20
15,PASS,1.5434112548828125,243283592,244471300,245632524,246842312,262322566848,21
17,PASS,38.12365508079529,244471308,241831512,246842312,249814984,304123382824,33
18,PASS,375.0593066215515,241831860,203873944,249814984,249814984,304123382824,33
19,PASS,0.04158282279968262,203873948,203876132,249814984,249814984,304123382824,33
21,PASS,0.018158912658691406,203876136,203876236,249814984,249814984,304123382824,33
23,PASS,577.473087310791,203876324,184159960,249814984,249814984,220063147456,29
24,PASS,130.6425805091858,184160008,184166744,249814984,249814984,220063047112,26
