DIM,N,R,sigma,v_s,dt,dx,dy,dz,relative_Bianchi_residual,rho_relative_peak_error,lambda_fit,beta_fit,analytic_residual_H,analytic_residual_HT,analytic_residual_R,analytic_residual_HTR,analytic_residual_action_beta_minus_1,analytic_improvement_HTR_over_H,analytic_action_over_fit,beta_fit_minus_beta_action,abs_beta_fit_plus_1,Q_fit_residual,Q_action_residual,action_residual_over_fit_residual,relative_tensor_difference_action_vs_fit,integral_abs_rho_A,integral_Q_action_positive,integral_Q_action_signed,integral_Q_fit_positive,action_positive_fraction_of_abs_rho,action_signed_fraction_of_abs_rho,eta_needed_for_action_positive_to_match_abs_rho,action_Q00_absrho_correlation,fit_Q00_absrho_correlation,runtime_seconds,ram_available_gib_after,confirmation
4,61,2.0,2.0,0.25,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.01995513812768484,0.17447281886972335,0.011302621090539804,-0.9991738160358984,0.00010133676844527615,9.94847848670451e-05,4.703994002946659e-05,4.5115031662159396e-05,4.511509123454546e-05,0.554800963615468,1.0000013204553753,0.0008261839641016122,0.0008261839641016122,0.026765819555426423,0.02676602975782785,1.0000078533893195,3.978728287850147e-06,0.010191570478982066,0.7863219977473306,0.001804466723843268,0.7863223011478984,77.15415395193033,0.17705482462831362,0.012961064943088277,0.00122696452171336,0.0012272347301815348,714.1913530826569,7.616542816162109,True
4,61,3.0,2.0,0.25,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.020523331170596588,0.17883379068905983,0.011483024592615384,-0.9994766345104878,0.0001103101515844135,0.00010718393429886591,6.654898593288847e-05,6.365757387317763e-05,6.365758988830907e-05,0.422921889247297,1.0000002515824977,0.0005233654895121509,0.0005233654895121509,0.026821700244944662,0.02682181197004576,1.000004165474227,2.079751165177385e-06,0.02269020343909865,1.632621802458618,0.0024491361396999554,1.6326220888799983,71.95271769337087,0.10793804234825519,0.013898015697774425,0.016403255195419835,0.01640333850789246,702.1752326488495,6.000263214111328,True
4,61,4.0,2.0,0.25,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.020861011410412723,0.17926535024534446,0.012767830313064244,-0.9967380643894593,0.0001230844552599756,0.00011782501645823915,8.586177666606741e-05,8.115992292151748e-05,8.116040430233218e-05,0.3406159798969438,1.0000059312625909,0.003261935610540667,0.003261935610540667,0.026944583784469824,0.02694522927962761,1.0000239563974322,1.1991989463752361e-05,0.04009014839907007,2.6512168956293296,-0.1623046156968766,2.651219396035182,66.13138143661317,-4.0484912672620945,0.015121414043928576,0.028950141496810168,0.028950376647812307,696.6649844646454,5.904136657714844,True
4,61,2.0,4.0,0.25,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.08882233299865326,0.44146470610558247,0.014757651990802489,-0.7503085128878109,0.0025655905170208462,0.0025553002612085213,0.0019790374384610946,0.001964072885964903,0.0020380119868302566,0.23445582101481388,1.0376458029606315,0.24969148711218914,0.24969148711218914,0.16901833558432403,0.1699706056027293,1.005634122564946,0.0024505523534700574,0.01910951659670744,9.491801939523652,-0.0048734010994789185,9.492665738889569,496.705497048475,-0.25502482361686757,0.002013265417721775,-0.006780032901585056,-0.006679582033199992,694.5126512050629,7.332790374755859,True
4,61,3.0,4.0,0.25,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.08978391772566591,0.4515556706786106,0.014695500224694647,-0.6313525614425121,0.003211604099798751,0.003194774530410146,0.002816510295420641,0.0027938136023657393,0.0029366745185878764,0.13008779552224126,1.0511347342933564,0.36864743855748794,0.36864743855748794,0.16896227347393353,0.17025670228800183,1.0076610523015246,0.0033659506840328832,0.04295433589910854,20.53450380995714,-0.029252239442728558,20.536619348139354,478.0542727558106,-0.6810078384504985,0.002091812702008415,0.0002065206277051019,0.0003007801470778886,696.9860825538635,6.033943176269531,True
4,61,4.0,4.0,0.25,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.09014072946829205,0.44532473175654075,0.014743968958590658,-0.5459854989699432,0.00395968570830543,0.003935637101500182,0.0036535641880761772,0.0036226168797871667,0.0038417843684953944,0.08512514713257735,1.060499770188534,0.4540145010300568,0.4540145010300568,0.16882787863867246,0.17037849967923482,1.0091846266923783,0.004031557617280087,0.07633557861823213,35.712891879416276,-0.32346169203685,35.716691279248316,467.84071760329255,-4.237364776581307,0.0021374796215321173,0.0032019159717892624,0.003277441239499255,684.08385181427,6.225242614746094,True
4,61,2.0,2.0,0.5,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.038732304100481015,0.17446828413305684,0.049323937895748834,-0.9703012953176573,0.004503379329758034,0.00430647945671555,0.0033572936146459022,0.003197167739786669,0.0031983870369886192,0.29005142456910193,1.0003813679172278,0.029698704682342703,0.029698704682342703,0.11269637731386029,0.11269767393476865,1.0000115054355718,0.00032897847128344885,0.04076628191550634,13.27012520232304,0.12177440812971087,13.270838077484695,325.517181817738,2.9871355053204236,0.0030720344604111102,0.006854762547772871,0.006888878669231888,672.5635199546814,7.814174652099609,True
4,61,3.0,2.0,0.5,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.03977079116693142,0.17883242457233234,0.05035070894468837,-0.9588139970771301,0.005635156664953353,0.0053279135646835335,0.004777069686799747,0.0045340622268927174,0.004535654948713217,0.19539730721395132,1.000351279215149,0.04118600292286989,0.04118600292286989,0.1127778266807141,0.11278875545934466,1.0000969053842605,0.0003927932799228555,0.0907608125222611,27.53336279849673,0.1781318481366011,27.53483220297429,303.3617927532718,1.9626515363435106,0.0032963940215546966,0.019985966368295846,0.020008644574007278,716.3525402545929,6.704109191894531,True
4,61,4.0,2.0,0.5,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.040412388883912645,0.1792647730513496,0.05693951762391258,-0.9356541606665404,0.006873212332717984,0.0063687730757946885,0.006162604649303129,0.005753504233485253,0.005756568886351634,0.16290899291771876,1.0005326584881165,0.06434583933345961,0.06434583933345961,0.1131426747399628,0.11316365221851293,1.0001854073062915,0.0005787576981439081,0.16035775262196042,44.8361481730885,-2.3726168415572135,44.83935959328768,279.6007516941738,-14.79577259448504,0.003576528295938904,0.031206532279091058,0.031222032218750986,699.905074596405,6.821338653564453,True
4,61,2.0,4.0,0.5,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.17418157766623973,0.44145494205589064,0.09807454883933071,-0.4033662920556556,0.16100204134634008,0.1583620046738948,0.15605200530450083,0.1527809619389889,0.16474592061163734,0.05106195759137222,1.0783144609171036,0.5966337079443444,0.5966337079443444,0.7012230645527038,0.7043633419829971,1.0044782859963348,0.010808401447508924,0.07643806260475934,161.98319794188504,-0.07994261036485857,162.14221799300856,2119.1431653554146,-1.045848202331086,0.0004718888352369926,0.0012266386269872253,0.002054922829709065,684.4227545261383,8.35781478881836,True
