DIM,N,R,sigma,v_s,dt,dx,dy,dz,relative_Bianchi_residual,rho_relative_peak_error,lambda_fit,beta_fit,analytic_residual_H,analytic_residual_HT,analytic_residual_R,analytic_residual_HTR,analytic_residual_action_beta_minus_1,analytic_improvement_HTR_over_H,analytic_action_over_fit,beta_fit_minus_beta_action,abs_beta_fit_plus_1,Q_fit_residual,Q_action_residual,action_residual_over_fit_residual,relative_tensor_difference_action_vs_fit,integral_abs_rho_A,integral_Q_action_positive,integral_Q_action_signed,integral_Q_fit_positive,action_positive_fraction_of_abs_rho,action_signed_fraction_of_abs_rho,eta_needed_for_action_positive_to_match_abs_rho,action_Q00_absrho_correlation,fit_Q00_absrho_correlation,runtime_seconds,ram_available_gib_after
4,31,2.0,0.5,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.0021285474873758378,0.10539912000501427,0.004202354112651533,-1.0013125671634129,4.2570503459107786e-07,4.1523794956325746e-07,7.513056482817877e-08,3.143689112664352e-08,3.144157601720364e-08,0.9261533489806127,1.0001490252500236,-0.001312567163412881,0.001312567163412881,0.0017958993027664405,0.001795538304407316,0.9997989874161828,2.3787368819598154e-05,0.00445054386692227,0.004486254390087787,-0.0005581242176028157,0.004486251710811541,1.008023856012504,-0.12540584573291289,0.99204001377086,-0.13777951888438444,-0.1377808315263681,38.395904302597046,13.339900970458984
4,31,3.0,0.5,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.0016314295415308672,0.04458471663268079,0.0030171407712180367,-1.0032009640625057,1.3091135103823698e-07,1.26890261002065e-07,2.984631956368781e-08,1.5312322880336058e-08,1.5317596704889154e-08,0.883032886308968,1.0003444170159101,-0.0032009640625056957,0.0032009640625056957,0.0020831584026755876,0.0020826915507518758,0.9997758922590273,3.696947980646425e-05,0.006074747708943486,0.0034357364153655206,-0.00037094437059469887,0.003435723376533492,0.5655768074626857,-0.06106333766727132,1.7681064477983846,-0.11480789127948561,-0.11480816521189438,35.23930263519287,13.441154479980469
4,31,4.0,0.5,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.0014353799292600104,0.04605342944022632,0.0030279085055426444,-1.003166957350547,8.02472595713014e-08,7.629452002381143e-08,2.117671672600848e-08,8.625194357558058e-09,8.628513729506078e-09,0.8925172721955148,1.0003848460464095,-0.0031669573505470616,0.0031669573505470616,0.0021920973028513023,0.0021922117661099835,1.0000522163220276,2.3215669177413803e-05,0.007024152648605123,0.0036058776166252755,0.0003701573322070748,0.003605863210655252,0.5133541078924788,0.0526977915664435,1.9479731137350678,-0.17768391846998433,-0.17768131598045647,36.2691330909729,13.638103485107422
4,31,2.0,1.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.009408370179746594,0.15755051486136867,0.004493301110384218,-1.000173501398001,3.1229623849800543e-06,3.0785356021029133e-06,8.996284310268445e-07,8.208440424280104e-07,8.208442037987199e-07,0.7371585241065102,1.0000001965911929,-0.00017350139800109687,0.00017350139800109687,0.012990864721085588,0.012990817709233916,0.9999963811607093,1.6488765036824678e-06,0.005204199842128119,0.03295093448025146,-0.00019976298009995768,0.0329509292877928,6.331604373358778,-0.03838495564349234,0.15793785287780415,-0.07243445570328107,-0.07243461395630074,30.997202396392822,13.682544708251953
4,31,3.0,1.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.009809551990165748,0.17110647547863042,0.0035020362371128173,-0.9978496054870398,2.590450852909853e-06,2.544717247694136e-06,9.642770684080124e-07,9.056838072320424e-07,9.056983067453103e-07,0.6503759929609597,1.0000160094650605,0.0021503945129601743,0.0021503945129601743,0.013439389364067397,0.013439720787510132,1.0000246606027816,1.2915993880462824e-05,0.010545407803379763,0.048848937635028344,-0.006883840027497778,0.048849010777410565,4.632247376850845,-0.6527808270526564,0.21587793540504588,0.0006933770071014194,0.000693859800302035,34.238418102264404,13.71109390258789
4,31,4.0,1.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.010146513036614437,0.17447281886971983,0.007689453662091538,-0.9977087549864977,2.3688902728808856e-06,2.183310973088977e-06,1.0355897973515225e-06,6.910981406936656e-07,6.91114506597251e-07,0.7082608052363699,1.000023681012322,0.0022912450135023077,0.0022912450135023077,0.013685515802931765,0.013685035768898885,0.9999649239356564,1.1251471203887635e-05,0.016053180604143333,0.0677829342263427,0.0014453157168029585,0.06778303118915749,4.222399030933963,0.0900329817774505,0.23683218773826015,0.00024427551371992545,0.00024402418077906584,35.23892545700073,13.724605560302734
4,31,2.0,2.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.04218682791493326,0.4367759957164495,0.005103006508333253,-0.881547533770248,5.5378982517993055e-05,5.5153995949785546e-05,2.9758827280875266e-05,2.9384817184188785e-05,3.0046633000960588e-05,0.4693868350751762,1.0225223731229443,0.11845246622975203,0.11845246622975203,0.08089169625147347,0.08117172122296984,1.0034617270309902,0.0015181926700455755,0.008743708788267501,0.32015444647267244,0.0007226468041317944,0.3201763006336236,36.61540591359386,0.08264762947062666,0.027310908483708478,-0.04514577550202009,-0.045060915219823874,36.334603786468506,13.628242492675781
4,31,3.0,2.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.043775103624485515,0.45372048971330053,0.00425680285320577,-0.811733325542396,5.882521638953028e-05,5.8580613511032875e-05,3.998439128399341e-05,3.9603354891024825e-05,4.084917264351862e-05,0.326762274382837,1.03145737920239,0.18826667445760403,0.18826667445760403,0.08353081311130742,0.08388894879641758,1.0042874679626659,0.0020202674668067925,0.019569790511230353,0.6281160623037773,-0.00954428875083852,0.6281699349776455,32.09620777204158,-0.48770520795107225,0.03115632871965272,-0.016592215898878857,-0.016533469369415184,40.80060839653015,13.498176574707031
4,31,4.0,2.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.045068249737945036,0.44146470610557936,0.01364478630728111,-0.7767439515374472,5.95989625298911e-05,5.6658459737954864e-05,4.379932921764749e-05,3.87461667238414e-05,4.0527087662097206e-05,0.3498852147902951,1.0459637969079394,0.22325604846255276,0.22325604846255276,0.0864286591091834,0.08676243689111636,1.0038618877739536,0.0022584331687408718,0.03322370718219389,0.8680856610310893,-0.10312370065100715,0.868175264507165,26.128500840397976,-3.1039191407958193,0.03827238332992581,0.009853975455276746,0.009873076131331395,39.4933762550354,13.56747817993164
4,31,2.0,4.0,0.25,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.10824037991330844,0.6755276705676175,0.005426064683929542,-0.8705504050214963,0.001981558747245565,0.0019810430834304757,0.0009966118687701527,0.000993843325543643,0.0010259927243955374,0.4984537668009492,1.0323485583950653,0.12944959497850372,0.12944959497850372,0.1821911014768946,0.18201433989434063,0.9990298012300212,0.002088030730605312,0.01478525496627049,2.9959081934889107,0.014588732449489982,2.996095894999534,202.62810484658246,0.9867082091429039,0.0049351495477744246,-0.1367356335232204,-0.13667065381491877,39.94206357002258,13.603858947753906
