metric,N61,N81,percent_change,preferred_direction,trend
relative_Bianchi_residual,0.006031912101890444,0.0035299983833249567,-41.47795386112092,lower,IMPROVED
rho_relative_peak_error,0.04964638263844123,0.02858669536805789,-42.419379119228736,lower,IMPROVED
Hessian_Q_normalized_residual,0.018923608329206223,0.01357449810639878,-28.26686184659487,lower,IMPROVED
HTR_normalized_residual,0.01661441080787198,0.010241875755526996,-38.35546818985389,lower,IMPROVED
lambda_fit,0.015789560483007618,0.016227418581089042,2.7730860434819427,record_only,RECORD_ONLY
beta_fit,-1.0306645653701305,-1.0365130131338942,-0.5674443422495478,record_only,RECORD_ONLY
action_over_fit,1.0000226651967665,1.0000244510928271,0.00017858555838227817,closer_to_one,WORSENED
action_fit_tensor_difference_percent,0.027417084419199243,0.03053278869846761,11.364097770682521,lower,WORSENED
