candidate,lambda,beta,Q_L2,C_L2,C_over_Q,normalized_residual,rank
"HTR lambda_fit=0.0165798, beta_fit=-1.04026",0.016579809465662263,-1.0402591753867252,0.0215252397886984,0.00014085994162422563,0.006543942971459145,0.006543942971459145,1
R beta_fit=-1.04026,0.0,-1.0402591753867252,0.02154417614535232,0.00014908474812580738,0.006919955867422163,0.006919955867422163,2
HT lambda_fit=0.0165798,0.016579809465662263,0.0,0.02149796536609905,0.00022527914115929844,0.010479091268541607,0.010479091268541607,3
H,0.0,0.0,0.021516921667930823,0.00023713330740604403,0.011020782204151045,0.011020782204151045,4
