timestamp,pid,comm,state,vmrss_kib,vmswap_kib,vmsize_kib,vmhwm_kib,vmpeak_kib,majflt,memavailable_kib,system_swap_used_kib,pswpin_pages,pswpout_pages
2026-07-18T00:50:06-04:00,1778500,python,R,170980344,0,198829536,172635252,200448852,259,78373736,1020284,19398497,35857605
2026-07-18T00:50:11-04:00,1778500,python,R,172411608,0,200448852,172635252,200448852,259,77669276,1020284,19398505,35857605
2026-07-18T00:50:16-04:00,1778500,python,R,172610852,0,200448852,174258396,200448852,259,77561876,1020284,19398505,35857605
2026-07-18T00:50:21-04:00,1778500,python,R,173269136,0,200448852,174284360,200448852,259,76809344,1020284,19398507,35857605
2026-07-18T00:50:26-04:00,1778500,python,R,174284068,0,200448852,175957540,200448852,259,75881280,1020284,19398508,35857605
2026-07-18T00:50:31-04:00,1778500,python,R,174311744,0,198801852,175957648,200448852,259,75019584,1020284,19398508,35857605
2026-07-18T00:50:36-04:00,1778500,python,R,175987008,0,198801852,177632840,200448852,259,73342636,1020284,19398509,35857605
2026-07-18T00:50:41-04:00,1778500,python,R,175959332,0,200448852,177632840,200448852,259,74205028,1020284,19398510,35857605
2026-07-18T00:50:46-04:00,1778500,python,R,177066132,0,200448852,179308176,200448852,259,73027244,1020284,19398510,35857605
2026-07-18T00:50:51-04:00,1778500,python,R,177105044,0,200448852,179308176,200448852,259,72996536,1020284,19398511,35857605
2026-07-18T00:50:56-04:00,1778500,python,R,180548188,0,200476532,181009060,200476532,259,69534672,1020284,19398526,35857605
2026-07-18T00:51:01-04:00,1778500,python,R,197907928,0,227271396,199431792,228946076,259,52214768,1020284,19398534,35857605
2026-07-18T00:51:06-04:00,1778500,python,R,231720196,0,252391580,232924036,252391580,259,19037876,1020284,19398535,35857611
2026-07-18T00:51:11-04:00,1778500,python,R,232925004,0,252391580,232925004,252391580,259,17972556,1020284,19398535,35857611
2026-07-18T00:51:16-04:00,1778500,python,R,232803588,0,252391580,232924036,252391580,259,18004892,1020284,19398536,35857611
2026-07-18T00:51:22-04:00,1778500,python,R,234601424,0,259090296,236247436,260737296,259,16283184,1020284,19398537,35857611
2026-07-18T00:51:27-04:00,1778500,python,R,234149988,0,259090296,236247436,260737296,259,16652924,1020284,19398545,35857611
2026-07-18T00:51:32-04:00,1778500,python,R,235937892,0,259090296,237920652,260737296,259,14859296,1020284,19398545,35857611
2026-07-18T00:51:37-04:00,1778500,python,R,237922096,0,260737296,239595916,260737296,259,12950356,1020284,19398548,35857611
2026-07-18T00:51:42-04:00,1778500,python,R,237541344,0,259090296,239595916,260737296,259,13238792,1020284,19398548,35857611
2026-07-18T00:51:47-04:00,1778500,python,R,239623572,0,259090296,241269716,260737296,259,11229704,1020284,19398548,35857611
2026-07-18T00:51:52-04:00,1778500,python,R,239342120,0,259090296,241269716,260737296,259,11436116,1020280,19398549,35857611
2026-07-18T00:51:57-04:00,1778500,python,R,241998752,0,262441572,244648232,264116252,262,8707908,1020280,19398551,35857611
2026-07-18T00:52:02-04:00,1778500,python,R,248752468,2584692,295935668,249673444,297582668,262,2194196,3606208,19398586,36505496
2026-07-18T00:52:07-04:00,1778500,python,R,248869924,6693880,297582668,249673444,297582668,262,2062260,7715704,19398592,37532869
2026-07-18T00:52:12-04:00,1778500,python,R,248830756,8314276,297582668,249673444,297582668,262,2056884,9356448,19398612,37944099
2026-07-18T00:52:17-04:00,1778500,python,R,248863156,10043244,297582668,249673444,297582668,262,2028376,11065068,19398622,38370250
2026-07-18T00:52:22-04:00,1778500,python,R,248893752,11458124,297582668,249673444,297582668,262,2035120,12493572,19398627,38728274
2026-07-18T00:52:27-04:00,1778500,python,R,248855052,11717928,295935668,249673444,297582668,262,3567176,12741604,19398644,38789429
2026-07-18T00:52:32-04:00,1778500,python,D,248838076,10890068,297610348,249673444,297610348,26137,2017264,12741604,19605760,38789429
2026-07-18T00:52:37-04:00,1778500,python,D,247826400,12040740,297610348,249673444,297610348,57475,3063812,14895980,19856749,39328024
2026-07-18T00:52:42-04:00,1778500,python,D,249234000,12053124,297610348,249673444,297610348,101880,1666224,16330352,20212004,39686617
2026-07-18T00:52:47-04:00,1778500,python,D,249250828,11661516,297610348,249673444,297610348,142481,1655980,17241076,20536730,39914587
2026-07-18T00:52:52-04:00,1778500,python,R,249247784,11403268,297610348,249673444,297610348,186624,1651364,18394996,20889902,40202777
2026-07-18T00:52:57-04:00,1778500,python,D,247151688,12663224,297610348,249673444,297610348,212757,3636988,20493376,21098380,40727372
2026-07-18T00:53:02-04:00,1778500,python,D,249250592,12004068,297610348,249673444,297610348,257860,1644308,21282592,21458830,40925256
2026-07-18T00:53:07-04:00,1778500,python,R,248796532,11671676,297610348,249673444,297610348,285583,2060976,21833804,21680530,41062606
2026-07-18T00:53:12-04:00,1778500,python,D,249267792,12105732,297610348,249673444,297610348,313904,1635904,23184564,21906708,41400444
2026-07-18T00:53:17-04:00,1778500,python,R,247907708,18781632,304309064,249682312,304309064,314029,2792864,29857860,21907586,43070148
2026-07-18T00:53:22-04:00,1778500,python,R,248545732,18319548,331103928,249682312,331103928,328483,1706776,29857860,22023059,43070148
2026-07-18T00:53:27-04:00,1778500,python,D,249338628,18347660,331103928,249682312,331103928,354138,1526604,30707572,22227973,43282576
2026-07-18T00:53:32-04:00,1778500,python,D,247188920,21021680,331103928,249682312,332778608,370449,3638524,33904408,22358022,44081785
2026-07-18T00:53:37-04:00,1778500,python,D,248793848,20219568,331103928,249682312,332778608,395504,1997772,33904408,22558242,44081785
2026-07-18T00:53:42-04:00,1778500,python,R,249240256,20557688,332778608,249682312,332778608,418582,1584880,34985688,22742483,44352105
2026-07-18T00:53:47-04:00,1778500,python,D,247961904,25361268,331103928,249682312,332778608,425578,2818772,40008372,22798698,45607776
2026-07-18T00:53:52-04:00,1778500,python,D,249269784,25468948,331103928,249682312,332778608,469730,1551944,41532264,23151130,45990640
2026-07-18T00:53:57-04:00,1778500,python,R,249253024,26635992,331103928,249682312,332778608,505731,1557440,43854232,23438461,46569241
2026-07-18T00:54:02-04:00,1778500,python,R,248520996,31777248,332778608,249682312,332778608,523169,2244752,49558104,23577679,47996514
2026-07-18T00:54:07-04:00,1778500,python,D,247824760,35833716,331103928,249682312,332778608,539158,2863824,54118080,23705736,49135203
2026-07-18T00:54:12-04:00,1778500,python,D,249236024,35486516,331103928,249682312,332778608,572388,1518636,54838976,23971323,49315427
2026-07-18T00:54:17-04:00,1778500,python,R,248743644,42516824,332778608,249682312,332778608,575490,1963656,61977584,23996006,51101272
2026-07-18T00:54:22-04:00,1778500,python,D,248668160,43474380,331103928,249682312,332778608,594920,1993416,63544160,24151510,51491723
2026-07-18T00:54:27-04:00,1778500,python,D,249225804,43700224,331103928,249682312,332778608,619471,1477372,64555668,24347836,51744600
2026-07-18T00:54:32-04:00,1778500,python,R,248295696,50418940,356224112,249682312,356224112,627758,2362204,71554056,24413907,53494863
2026-07-18T00:54:37-04:00,1778500,python,R,248832272,60646744,356224112,249682312,356224112,627758,1773964,81782796,24413911,56052120
2026-07-18T00:54:42-04:00,1778500,python,R,248789264,71046496,356224112,249682312,356224112,627758,1748384,92183616,24413921,58651953
2026-07-18T00:54:47-04:00,1778500,python,R,248521544,72891324,357898792,249682312,357898792,627758,1914752,94012720,24413925,59108863
2026-07-18T00:54:53-04:00,1778500,python,R,248764080,72895420,357898792,249682312,357898792,627758,1748904,94016816,24413941,59109887
2026-07-18T00:54:58-04:00,1778500,python,R,248745688,74642600,366244508,249682312,366244508,627758,1780260,95777744,24413951,59550921
2026-07-18T00:55:03-04:00,1778500,python,R,246437292,76276176,364597508,249682312,366244508,627758,3755232,97397572,24413961,59955076
2026-07-18T00:55:08-04:00,1778500,python,R,245835612,77699536,366244508,249682312,366244508,627758,4555476,98820932,24413968,60310916
2026-07-18T00:55:13-04:00,1778500,python,R,247310612,77699536,364597508,249682312,366244508,627758,3024224,98820932,24413971,60310916
2026-07-18T00:55:18-04:00,1778500,python,R,245802412,79358268,364597508,249682312,366244508,627758,4469992,100479664,24413977,60725599
2026-07-18T00:55:23-04:00,1778500,python,R,247324948,79358268,364597508,249682312,366244508,627758,3152824,100479664,24413982,60725599
2026-07-18T00:55:28-04:00,1778500,python,R,247307368,81049836,364597508,249682312,366244508,627758,3173680,102171232,24414001,61148491
2026-07-18T00:55:33-04:00,1778500,python,R,247005440,81049836,364597508,249682312,366244508,627758,3394652,102171232,24414014,61148491
2026-07-18T00:55:38-04:00,1778500,python,R,248911564,82349620,367948316,249682312,367948316,627780,1554908,103480020,24414035,61476645
2026-07-18T00:55:43-04:00,1778500,python,R,248770956,89934728,377997820,249682312,377997820,627785,1676724,111089368,24414071,63378201
2026-07-18T00:55:48-04:00,1778500,python,R,249152784,98951668,384696536,249682312,384696536,627785,1378800,120128492,24414095,65639563
2026-07-18T00:55:53-04:00,1778500,python,D,249236496,99927596,386371216,249682312,386371216,649980,1286260,121791748,24591838,66055315
2026-07-18T00:55:58-04:00,1778500,python,D,249269148,100634820,386371216,249682312,386371216,673133,1251236,123239772,24777084,66417337
2026-07-18T00:56:03-04:00,1778500,python,D,248830256,100231172,386371216,249682312,386371216,699113,1629968,123667768,24984982,66524350
2026-07-18T00:56:08-04:00,1778500,python,D,249294960,100507784,386371216,249682312,386371216,722272,1123064,124697896,25170136,66781882
2026-07-18T00:56:13-04:00,1778500,python,D,248516240,100381224,386371216,249682312,386371216,746326,1948996,125328676,25362710,66939586
2026-07-18T00:56:18-04:00,1778500,python,R,249292832,100411608,386371216,249682312,386371216,771567,1212948,126166420,25564553,67149021
2026-07-18T00:56:23-04:00,1778500,python,D,248468940,100403820,386371216,249682312,386371216,797857,2023324,127000000,25774872,67357445
2026-07-18T00:56:28-04:00,1778500,python,R,249317916,100359868,386371216,249682312,386371216,823045,1179804,127761856,25976256,67547929
2026-07-18T00:56:33-04:00,1778500,python,D,248163032,100546016,386371216,249682312,386371216,845079,2318684,128653328,26152601,67770810
2026-07-18T00:56:38-04:00,1778500,python,R,249325784,100212616,386371216,249682312,386371216,870990,1170724,129148932,26359832,67894711
2026-07-18T00:56:43-04:00,1778500,python,D,247497400,101111072,386371216,249682312,386371216,894303,2895648,130793324,26546345,68305821
2026-07-18T00:56:48-04:00,1778500,python,R,249273952,100223136,386371216,249682312,386371216,922045,1177736,130793324,26768311,68305821
2026-07-18T00:56:53-04:00,1778500,python,D,249334368,100668580,386371216,249682312,386371216,937882,1147036,131755756,26894883,68546430
2026-07-18T00:56:58-04:00,1778500,python,D,249051892,100099028,386371216,249682312,386371216,963552,1415400,131997356,27100420,68606830
2026-07-18T00:57:03-04:00,1778500,python,D,249332028,100508992,386371216,249682312,386371216,985164,1162752,133103168,27273205,68883283
2026-07-18T00:57:08-04:00,1778500,python,D,248618900,100369964,386371216,249682312,386371216,1010838,1825640,133780964,27478618,69052732
2026-07-18T00:57:13-04:00,1778500,python,R,249322164,100397852,386371216,249682312,386371216,1033606,1161516,134540660,27660643,69242656
2026-07-18T00:57:18-04:00,1778500,python,D,248178332,100599448,386371216,249682312,386371216,1056604,2249340,135474520,27844653,69476121
2026-07-18T00:57:23-04:00,1778500,python,D,249330524,100237244,386371216,249682312,386371216,1081200,1154760,135902552,28041454,69583129
2026-07-18T00:57:28-04:00,1778500,python,D,247818432,100826228,386371216,249682312,386371216,1104759,2547372,137241944,28229900,69917977
2026-07-18T00:57:33-04:00,1778500,python,D,248967568,100484164,386371216,249682312,386371216,1129980,1474932,137706840,28431608,70034201
2026-07-18T00:57:38-04:00,1778500,python,D,247507172,101055508,386371216,249682312,386371216,1154564,2839944,139064572,28628368,70373634
2026-07-18T00:57:43-04:00,1778500,python,D,248856356,100603316,386371216,249682312,386371216,1182581,1580048,139508924,28852478,70484722
2026-07-18T00:57:48-04:00,1778500,python,R,247622500,100970648,386371216,249682312,386371216,1207829,2716984,140684320,29054495,70778571
2026-07-18T00:57:53-04:00,1778500,python,D,248883204,100582424,386371216,249682312,386371216,1235127,1509292,141169632,29272936,70899899
2026-07-18T00:57:58-04:00,1778500,python,D,247261692,101235048,386371216,249682312,386371216,1257196,3176492,142528296,29449473,71239565
2026-07-18T00:58:03-04:00,1778500,python,D,248968296,100382548,386371216,249682312,386371216,1283842,1413428,142528296,29662622,71239565
2026-07-18T00:58:08-04:00,1778500,python,D,249336756,100753316,386371216,249682312,386371216,1306901,1074680,143650600,29846940,71521050
2026-07-18T00:58:13-04:00,1778500,python,D,248853080,100466980,386371216,249682312,386371216,1335248,1450920,144256808,30073812,71671693
2026-07-18T00:58:19-04:00,1778500,python,D,247671564,100823224,386371216,249682312,386371216,1361807,2653828,145291388,30286270,71930338
2026-07-18T00:58:24-04:00,1778500,python,D,249289420,100114712,386371216,249682312,386371216,1390218,1157004,145500088,30513378,71982562
2026-07-18T00:58:29-04:00,1778500,python,D,249301672,100725228,386371216,249682312,386371216,1409708,1111552,146259072,30669477,72172259
2026-07-18T00:58:34-04:00,1778500,python,R,249283264,100335824,386371216,249682312,386371216,1449315,1169896,146259164,30986366,72172282
2026-07-18T00:58:39-04:00,1778500,python,D,248379824,100461076,386371216,249682312,386371216,1477279,2060792,146259856,31209996,72172455
2026-07-18T00:58:44-04:00,1778500,python,R,249272192,100355016,386371216,249682312,386371216,1501890,1183000,146261308,31406920,72172818
2026-07-18T00:58:49-04:00,1778500,python,D,248144252,100569456,386371216,249682312,386371216,1525699,2273576,146584096,31597320,72253510
2026-07-18T00:58:54-04:00,1778500,python,D,249262364,100296152,386371216,249682312,386371216,1552208,1184996,146681536,31809203,72277870
2026-07-18T00:58:59-04:00,1778500,python,D,249064612,101031512,386371216,249682312,386371216,1581017,1320464,148230444,32024725,72665097
2026-07-18T00:59:04-04:00,1778500,python,D,249094540,100147552,386371216,249682312,386371216,1608978,1251204,148230444,32245698,72665097
2026-07-18T00:59:09-04:00,1778500,python,D,249322536,100673620,386371216,249682312,386371216,1633438,1081188,148748232,32439690,72795152
