sweep_label,N,geometry,sweep_amplitude,sweep_width,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_gaussian_A0p010_W1p25,61,gaussian_pulse,0.01,1.25,0.007188493441458,-0.4989044288485317,0.0071392742414978,1.0862588356657152,0.0047057866456213,0.0007088877095488,0.0364409633098879,1096303,13845841,0.0791792278995548,473.3827567100525
N61_gaussian_A0p010_W1p50,61,gaussian_pulse,0.01,1.5,0.0062252177764058,-0.446183291097865,0.0062048837296127,1.070022075786761,0.0053252468688918,0.0006829142331749,0.0378364452957253,1907813,13845841,0.1377896077240812,465.66879749298096
N61_gaussian_A0p010_W1p75,61,gaussian_pulse,0.01,1.75,0.0052704652299369,-0.4067211680652055,0.0052760369422132,1.0575699133377268,0.0057598073088003,0.0006800894439513,0.0387346742268352,3042845,13845841,0.2197659932683034,533.1400854587555
N61_gaussian_A0p010_W2p00,61,gaussian_pulse,0.01,2.0,0.0044481278271033,-0.3770096327199838,0.0044755030957904,1.0478684422383464,0.0060738538355593,0.0006827140556051,0.0394415687688347,4532109,13845841,0.3273263790910209,661.541196346283
N61_gaussian_A0p025_W1p25,61,gaussian_pulse,0.025,1.25,0.0180334700050457,-0.5124034794352269,0.0177079130567414,1.082912842356364,0.0115367580671302,0.0017793159337281,0.0907868586366349,1096303,13845841,0.0791792278995548,427.7274971008301
N61_gaussian_A0p025_W1p50,61,gaussian_pulse,0.025,1.5,0.0157140604106637,-0.4613843819475787,0.0155688545251109,1.0668471554537573,0.0130434094098929,0.0017173805170884,0.0943528611478912,1907813,13845841,0.1377896077240812,423.2745332717896
N61_gaussian_A0p025_W1p75,61,gaussian_pulse,0.025,1.75,0.0133715147666926,-0.4227516475856493,0.0133884266410963,1.0547759479847183,0.0141077335841495,0.0017111329346946,0.0966593008524052,3042845,13845841,0.2197659932683034,421.3112185001373
N61_gaussian_A0p025_W2p00,61,gaussian_pulse,0.025,2.0,0.0113366428428771,-0.3932983767490733,0.011490434884524,1.0454870782590615,0.0148841749514467,0.0017177962935749,0.0984718347637383,4532109,13845841,0.3273263790910209,411.4387404918671
