sweep_label,N,geometry,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_static_shell_all,61,static_shell,all,-0.0064322351105786,19.285614056801958,-0.000685289150543,1.2625526355654324,0.3847545603551924,0.0055152141701396,0.0537785004660534,9150625,13845841,0.6608934047415393,575.6693065166473
N61_static_shell_localized,61,static_shell,localized,-0.00643223623644,19.285614289983663,-0.0006852893039531,1.262552640540949,0.3847547695721571,0.0055152188635916,0.0709115292769908,5263005,13845841,0.3801145051427356,448.5253436565399
N61_static_shell_shell_center,61,static_shell,shell_center,-0.0613643154507899,11.416483249942235,-0.0676275468614134,1.4479804704509978,0.3017501691625386,0.0048641919901112,0.1779205712862836,496870,13845841,0.0358858663767697,425.6478989124298
N61_static_shell_shell_core,61,static_shell,shell_core,-0.0196502878614178,19.075216234379717,-0.0138315424968574,1.4609695522313424,0.4125242610344913,0.0058593765162232,0.1205922002153093,1429890,13845841,0.1032721667105667,483.5390214920044
N61_static_shell_shell_edge,61,static_shell,shell_edge,0.0046117737628119,16.147287708849007,0.0114140986592906,1.276435469309467,0.1761870394283552,0.0057249185340984,0.0578159276460175,2416150,13845841,0.1745036650355872,565.4480404853821
