sweep_label,N,geometry,sweep_amplitude,sweep_width,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N71_gaussian_A0p025_W1p25,71,gaussian_pulse,0.025,1.25,0.0180737432913402,-0.514225213926239,0.017740165817239,1.0824003445802235,0.0114692252206701,0.0013113677814533,0.0908584879561423,2043391,25411681,0.0804114847813491,2877.5078523159027
N71_gaussian_A0p025_W1p50,71,gaussian_pulse,0.025,1.5,0.0157511571200865,-0.4634729269006115,0.0155993273349887,1.0662240811954078,0.0129659186536899,0.0012652445312937,0.0943831867832264,3558919,25411681,0.1400505145645421,2722.171907901764
N71_gaussian_A0p025_W1p75,71,gaussian_pulse,0.025,1.75,0.0134003769338974,-0.4252406309963892,0.0134112266588505,1.0541203830509622,0.0140182299046219,0.0012606295494064,0.0967133007269279,5673099,25411681,0.2232476867626348,2705.829279899597
N71_gaussian_A0p025_W2p00,71,gaussian_pulse,0.025,2.0,0.0113591191960286,-0.3962331383647094,0.0115068876623968,1.04484007936001,0.0147823162899269,0.0012655594389391,0.098429497765113,8465897,25411681,0.333149821926381,2663.7719349861145
