sweep_label,N,geometry,sweep_amplitude,sweep_omega,sweep_Aomega,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_frw_A0p010_O1p0,61,frw,0.01,1.0,0.01,-0.0015742738471261,6.680253215351386,0.0002998167117008,1.0004945543818786,0.0968148559430004,4.4712911006211e-05,0.029183044399724,9150625,13845841,0.6608934047415393,378.5918953418732
N61_frw_A0p010_O2p0,61,frw,0.01,2.0,0.02,-0.0024167305605825,3.044060447664788,0.0011983958536573,1.000199614659913,0.0726516269108355,0.000202888690119,0.1807122336231509,9150625,13845841,0.6608934047415393,398.1904215812683
N61_frw_A0p010_O3p0,61,frw,0.01,3.0,0.03,-0.0074817454396491,4.452202958348956,0.0026978679525499,1.0002710488348985,0.0948979786310041,0.0007623509475329,0.4043645923345447,9150625,13845841,0.6608934047415393,410.0652484893799
N61_frw_A0p025_O1p0,61,frw,0.025,1.0,0.025,-0.0098072430591128,6.65778909284496,0.0018742738489796,1.00309192703327,0.238140795383433,0.0001117208346037,0.0730997404867948,9150625,13845841,0.6608934047415393,404.5248816013336
N61_frw_A0p025_O2p0,61,frw,0.025,2.0,0.05,-0.015091653616155,3.041026384362904,0.0074919857845905,1.0012479684087925,0.1818875130909232,0.0005081668114848,0.4522735441301257,9150625,13845841,0.6608934047415393,411.52416014671326
N61_frw_A0p025_O3p0,61,frw,0.025,3.0,0.07500000000000001,-0.0466897093335887,4.444656710670618,0.0168672437992624,1.001694530344555,0.2362464062776962,0.0019093560870327,1.0120463148029413,9150625,13845841,0.6608934047415393,400.3830096721649
N61_frw_A0p050_O1p0,61,frw,0.05,1.0,0.05,-0.038778821009716,6.578709624449907,0.0075030941456701,1.012381591548593,0.4512097241893046,0.0002230052925654,0.1472131723772029,9150625,13845841,0.6608934047415393,406.81418538093567
N61_frw_A0p050_O2p0,61,frw,0.05,2.0,0.1,-0.0601829358823957,3.030234753839633,0.0299967263264294,1.0049972675189165,0.3654915817768785,0.0010230861154182,0.9080727100664984,9150625,13845841,0.6608934047415393,408.7656245231629
N61_frw_A0p050_O3p0,61,frw,0.05,3.0,0.15000000000000002,-0.1857493173540666,4.417903509043342,0.067548664427382,1.0067849419392043,0.4654586685601585,0.0038435432007654,2.0322093939964194,9150625,13845841,0.6608934047415393,400.8723850250244
