sweep_label,N,geometry,sweep_amplitude,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_weakgw_A0p005_all,61,weak_gw_packet,0.005,all,-3.90688485442014e-06,-0.2990374779118872,3.97808819428738e-06,1.2089869123133932,0.0002182489589909,0.0157595459785898,0.0002638228162049,9150625,13845841,0.6608934047415393,467.136120557785
N61_weakgw_A0p005_localized,61,weak_gw_packet,0.005,localized,-3.908006673026786e-06,-0.2990379763879714,3.979240939413528e-06,1.2089868085762376,0.0002183042764894,0.0157684007582464,0.0010945306588152,528011,13845841,0.0381349894166775,463.9942638874054
N61_weakgw_A0p010_all,61,weak_gw_packet,0.01,all,-1.572867868668247e-05,-0.296793139771823,1.59135765501243e-05,1.211537231543604,0.0004382514268773,0.0315139771266107,0.0005291325393204,9150625,13845841,0.6608934047415393,440.1965591907501
N61_weakgw_A0p010_localized,61,weak_gw_packet,0.01,localized,-1.5733195743707972e-05,-0.2967936263352314,1.591818788437699e-05,1.21153713058228,0.0004383625127128,0.031531676334081,0.0021952724640481,528011,13845841,0.0381349894166775,426.9410281181336
N61_weakgw_A0p025_all,61,weak_gw_packet,0.025,all,-0.000102460328815,-0.2820435958981442,9.951341627380166e-05,1.229225072780688,0.0011249509458827,0.0786957055019839,0.0013485768203025,9150625,13845841,0.6608934047415393,435.32608294487
N61_weakgw_A0p025_localized,61,weak_gw_packet,0.025,localized,-0.0001024897847891,-0.2820440023075323,9.954225259594456e-05,1.2292249922949563,0.0011252361978756,0.0787397730614267,0.0055957177633369,528011,13845841,0.0381349894166775,444.78541111946106
N61_weakgw_A0p050_all,61,weak_gw_packet,0.05,all,-0.0004571049460286,-0.2401894055366312,0.0003988201516765,1.2900041349376443,0.0024284950145984,0.1567617133711144,0.0028738361563913,9150625,13845841,0.6608934047415393,429.4475295543671
N61_weakgw_A0p050_localized,61,weak_gw_packet,0.05,localized,-0.000457236713319,-0.2401895667958155,0.0003989357185284,1.2900041398433308,0.0024291113771509,0.156848579158833,0.011929226661115,528011,13845841,0.0381349894166775,438.14038920402527
