sweep_label,redesign,N,geometry,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_schwarzschild_redesign_all,smooth_bounded_lapse_wall,61,schwarzschild_like,all,0.2238015129028356,1.2907551411424711,0.103302169037783,2.2369498878019844,0.3026681312855376,0.015629274497787,0.2715559296361972,9150625,13845841,0.6608934047415393,427.0680532455444
N61_schwarzschild_redesign_localized,smooth_bounded_lapse_wall,61,schwarzschild_like,localized,0.2239439137794891,1.2916194084330188,0.1033565991547851,2.240573055559741,0.3029103252936335,0.0162258700915673,0.3453477379409724,5263005,13845841,0.3801145051427356,581.2692520618439
N61_schwarzschild_redesign_schwarz_center,smooth_bounded_lapse_wall,61,schwarzschild_like,schwarz_center,0.375769303269423,1.899988318234488,0.1127995273571884,8.642820901875853,0.4960243366283349,0.0255443426528106,0.3751277965331984,698170,13845841,0.05042452820309,559.4316668510437
N61_schwarzschild_redesign_schwarz_edge,smooth_bounded_lapse_wall,61,schwarzschild_like,schwarz_edge,0.2101641419573344,1.4057122624943938,0.103351122798057,2.683843284663709,0.3367529521839721,0.0123959900719869,0.436558501864448,2416150,13845841,0.1745036650355872,416.7422683238983
N61_schwarzschild_redesign_schwarz_exterior,smooth_bounded_lapse_wall,61,schwarzschild_like,schwarz_exterior,0.2221108109757417,-2.3319720961604453,0.2266909963333361,1.1933349568851823,0.1288357633111155,0.0135873336669031,0.2979754350216756,4514290,13845841,0.3260394222351679,415.6274182796478
N61_schwarzschild_redesign_schwarz_interior,smooth_bounded_lapse_wall,61,schwarzschild_like,schwarz_interior,0.7242012630912009,4.066615117967498,-0.2437868286105063,2.3161912924278405,0.7338522696725097,0.0194737493986747,0.5504677552694833,748715,13845841,0.0540750829075677,406.0747225284576
