sweep_label,resolution_stage,redesign,N,geometry,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N71_schwarzschild_redesign_all,Stage7J_HR1_N71,smooth_bounded_lapse_wall,71,schwarzschild_like,all,0.2269163041065573,1.2841674688450042,0.1054091551613129,2.1845423751462283,0.2995272384091568,0.0119466177505655,0.2679490784739983,17850625,25411681,0.702457464344842,2646.505261421204
N71_schwarzschild_redesign_localized,Stage7J_HR1_N71,smooth_bounded_lapse_wall,71,schwarzschild_like,localized,0.2270631748966135,1.285052821712635,0.1054651957346388,2.187956317839961,0.2997703921316166,0.0124214839456802,0.346271623697939,9912045,25411681,0.390058611234731,2642.3377125263214
N71_schwarzschild_redesign_schwarz_center,Stage7J_HR1_N71,smooth_bounded_lapse_wall,71,schwarzschild_like,schwarz_center,0.3897554140643121,1.93910759462127,0.1115604984965853,9.156082281626473,0.506295590457966,0.0198368740131804,0.3764823780555987,1310790,25411681,0.0515821837996471,2605.846364736557
N71_schwarzschild_redesign_schwarz_edge,Stage7J_HR1_N71,smooth_bounded_lapse_wall,71,schwarzschild_like,schwarz_edge,0.2126626967316319,1.4139386386126709,0.1063174247201666,2.625953216393004,0.3362611381379073,0.0092198119153615,0.4388772366082262,4519060,25411681,0.1778339654114184,2632.8109259605408
N71_schwarzschild_redesign_schwarz_exterior,Stage7J_HR1_N71,smooth_bounded_lapse_wall,71,schwarzschild_like,schwarz_exterior,0.2249535815115874,-2.355792058403096,0.2299505991715879,1.2053940608375038,0.1311525097472376,0.0103697642786012,0.2990767046516174,8489910,25411681,0.3340947810575774,2648.7333946228027
N71_schwarzschild_redesign_schwarz_interior,Stage7J_HR1_N71,smooth_bounded_lapse_wall,71,schwarzschild_like,schwarz_interior,0.7745697184795962,4.300884866325337,-0.2434987993097424,2.274431988678036,0.7886702654065392,0.0149258335571936,0.5492979537276165,1422135,25411681,0.0559638301771535,2550.848636865616
