sweep_label,near_horizon_model,sweep_N,N,geometry,sweep_eps,sweep_width,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,action_error_abs,relative_tensor_difference,tensor_difference_percent,bianchi_abs,bianchi_relative,bianchi_relative_percent,G_mixed_norm,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N101_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,101,101,pg_horizon,0.35,1.0,schwarz_exterior,-0.0015436910650745,-0.4314626900110297,-0.0015458774220396,1.0003417440379072,0.0003417440379072101,0.0039035550123496,0.39035550123496,9.357060544841208e-05,0.0892464732429636,8.92464732429636,0.0010484515751527,0.0014174016909055,54667370,104060401,0.5253426805456958,1489.3720359802246
N111_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,111,111,pg_horizon,0.35,1.0,schwarz_exterior,-0.0013524837951933,-0.322528307695692,-0.0013546534458998,1.000482530004987,0.00048253000498710286,0.0046112334199152,0.46112334199152,7.683497337039134e-05,0.0740146746111593,7.401467461115931,0.0010381045890433,0.0013956508489685,80829210,151807041,0.532447042426708,4132.275226831436
N121_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,121,121,pg_horizon,0.35,1.0,schwarz_exterior,-0.0012059030741117,-0.4357397823898195,-0.0012073978651172,1.0003348938602452,0.00033489386024521117,0.0038223546040173,0.38223546040173,6.439413647364276e-05,0.0622843002079713,6.22843002079713,0.0010338742870775,0.0013866715217771,115446660,214358881,0.5385671891056382,11418.46042752266
