sweep_label,near_horizon_model,N,geometry,sweep_eps,sweep_width,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,action_error_abs,relative_tensor_difference,tensor_difference_percent,bianchi_abs,bianchi_relative,bianchi_relative_percent,G_mixed_norm,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds,action_error_abs_rank,relative_tensor_difference_rank,bianchi_abs_rank,stability_score
N61_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,1.0,schwarz_exterior,-0.0033732646673061,-0.022221300409057,-0.0033840963834174,1.0011159236432172,0.0011159236432172204,0.0074013991233865,0.7401399123386501,0.0002685023088544,0.235845812139192,23.5845812139192,0.0011384654508767,0.0017113361043916,6525310,13845841,0.471283037267292,82.52433323860168,1.0,2.0,6.0,9.0
N61_pg_horizon_eps0p15_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.0,schwarz_exterior,-0.0032517147113793,1.1761336848921615,-0.0031738993578818,1.0057729044949717,0.005772904494971698,0.007699289622038,0.7699289622038,0.000276549442098,0.5599723806719253,55.997238067192534,0.0004938626468795,0.0010620034783992,6526630,13845841,0.4713783727546777,82.60538816452026,5.0,3.0,8.0,16.0
N61_pg_horizon_eps0p25_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,1.0,schwarz_exterior,-0.003264537003516,0.9122538027861584,-0.0032181837613247,1.0043300661935863,0.004330066193586335,0.0084778367985995,0.84778367985995,0.0002726529483941,0.4263075633307234,42.63075633307234,0.0006395686397489,0.0011728561711768,6527950,13845841,0.4714737082420634,82.47399759292603,4.0,6.0,7.0,17.0
N61_pg_horizon_eps0p50_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.0,schwarz_exterior,-0.0038289607531623,-2.8638654321250825,-0.003673495697364,1.0039557089489464,0.003955708948946368,0.0263727572934587,2.6372757293458697,0.0002563267111988,0.1162170077210121,11.62170077210121,0.0022055869121515,0.0029077032693157,6528390,13845841,0.4715054867378587,82.85303974151611,3.0,16.0,5.0,24.0
N61_pg_horizon_eps0p15_width0p75_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,0.75,schwarz_exterior,-0.0084287917661277,-8.450226956986135,-0.0087408462013623,1.0101561808107875,0.010156180810787507,0.0174792908682593,1.7479290868259298,0.0003312451798828,0.5607276902088415,56.07276902088415,0.0005907416124919,0.0012694322488282,4543330,13845841,0.3281368029576535,81.82451057434082,6.0,11.0,12.0,29.0
N61_pg_horizon_eps0p50_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.25,schwarz_exterior,-0.0015551179005939,0.7769554217758502,-0.0016730695357937,1.0172316324720545,0.017231632472054503,0.0345746963629436,3.45746963629436,0.0002337189433779,0.1161916975639044,11.619169756390441,0.0020114943518177,0.0026531277562524,7854440,13845841,0.5672779284407499,83.00901222229004,9.0,19.0,1.0,29.0
N61_pg_horizon_eps0p25_width0p75_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,0.75,schwarz_exterior,-0.0085506899972965,-9.505561692310492,-0.0087864391296341,1.0128879561534767,0.01288795615347671,0.0249243144077604,2.49243144077604,0.0003268561897907,0.4268790392151086,42.68790392151086,0.0007656880749912,0.0014028822189206,4536290,13845841,0.3276283470249297,81.74112248420715,7.0,15.0,11.0,33.0
N61_pg_horizon_eps0p25_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,1.25,schwarz_exterior,-0.0014510700133281,2.2256627887882545,-0.0013802528894688,1.059112013688275,0.05911201368827501,0.0192669976290244,1.92669976290244,0.0002489220886465,0.4262023139787844,42.62023139787844,0.0005840467789176,0.0010716845365466,7833650,13845841,0.565776394514425,82.87231278419495,19.0,12.0,3.0,34.0
N61_pg_horizon_eps0p35_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,1.25,schwarz_exterior,-0.0014679199542824,1.8497500885241307,-0.0014882697999347,1.0455817630373576,0.045581763037357614,0.0291942683499598,2.91942683499598,0.0002448783524327,0.2357920101420735,23.57920101420735,0.0010385354121421,0.0015620085022047,7846850,13845841,0.566729749388282,82.79265761375427,16.0,17.0,2.0,35.0
N61_pg_horizon_eps0p15_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.25,schwarz_exterior,-0.0014528381153945,2.303418567945462,-0.0013488723266089,1.063530903136343,0.06353090313634291,0.0157495424142221,1.57495424142221,0.0002524318703423,0.5598273268943804,55.982732689438045,0.0004509102328796,0.0009701324524725,7834970,13845841,0.5658717300018107,82.95482587814331,21.0,10.0,4.0,35.0
N61_pg_horizon_eps0p50_width1p25_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.25,schwarz_center,-0.0076652132879684,-1.183498657146923,-0.0081073007966048,1.0023038760317806,0.002303876031780616,0.0120323342136479,1.20323342136479,0.002429265608425,0.1398794029364593,13.98794029364593,0.0173668571457122,0.0442885447263893,1175240,13845841,0.0848803622690741,80.68835973739624,2.0,8.0,32.0,42.0
N61_pg_horizon_eps0p15_width1p00_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.0,schwarz_center,0.0031136435661045,-2.0063728800804927,0.0033954169988073,1.0194242002315534,0.019424200231553446,0.0079658225221448,0.7965822522144801,0.0018730925360546,0.620070077266646,62.0070077266646,0.0030207755618712,0.0078337316538691,944900,13845841,0.0682443197202683,80.34065866470337,10.0,4.0,28.0,42.0
