sweep_label,near_horizon_model,N,geometry,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_pg_horizon_all,painleve_gullstrand_like_radial_flow,61,pg_horizon,all,1.825498903705424,0.0015738111913315,-73.10702280354798,34.14457670843908,0.8418092656872115,282.34078606161665,2097.842286915912,9150625,13845841,0.6608934047415393,83.6711814403534
N61_pg_horizon_localized,painleve_gullstrand_like_radial_flow,61,pg_horizon,localized,1.8260123571225784,0.001573811231509,-73.12773972604941,34.14457670079189,0.8418271708994549,282.3407860616188,2766.185643904473,5263005,13845841,0.3801145051427356,82.08424091339111
N61_pg_horizon_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,schwarz_center,0.0052760306120841,-7.835292287722527,0.0042693030519129,1.0828831573954112,0.0600025594089952,0.2426665421037497,0.0134121103415536,698170,13845841,0.05042452820309,80.35556650161743
N61_pg_horizon_schwarz_edge,painleve_gullstrand_like_radial_flow,61,pg_horizon,schwarz_edge,-0.0173204205108913,0.004320993505983,-0.0709880975450146,87.42835868705728,0.1359687014736035,364.99492074773775,1.0067637968005922,2416150,13845841,0.1745036650355872,81.05355167388916
N61_pg_horizon_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,schwarz_exterior,-0.0091856407296951,-12.02983046109509,-0.009010555002983,1.0213519376500404,0.0542294891504045,0.236150475325232,0.0020519739433107,4514290,13845841,0.3260394222351679,81.93911051750183
N61_pg_horizon_schwarz_interior,painleve_gullstrand_like_radial_flow,61,pg_horizon,schwarz_interior,6.991034192795632,0.0015742153918454,-278.931528927948,34.14450564743163,0.988165691547088,282.34078606206685,7333.983817763655,748715,13845841,0.0540750829075677,80.41973280906677
