sweep_label,near_horizon_model,sweep_N,N,geometry,sweep_eps,sweep_width,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,action_error_abs,relative_tensor_difference,tensor_difference_percent,bianchi_abs,bianchi_relative,bianchi_relative_percent,G_mixed_norm,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,61,pg_horizon,0.35,1.0,schwarz_exterior,-0.0033732646673061,-0.022221300409057,-0.0033840963834174,1.0011159236432172,0.0011159236432172204,0.0074013991233865,0.7401399123386501,0.0002685023088544,0.235845812139192,23.5845812139192,0.0011384654508767,0.0017113361043916,6525310,13845841,0.471283037267292,82.5945405960083
N71_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,71,71,pg_horizon,0.35,1.0,schwarz_exterior,-0.002644445089362,-0.338487661966922,-0.0026499255078927,1.000470949925946,0.00047094992594609586,0.0047299505085224,0.47299505085224,0.0001923368992296,0.1773264750709451,17.73264750709451,0.0010846485227473,0.0015236864173033,12466350,25411681,0.4905755742801903,150.5372908115387
N81_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,81,81,pg_horizon,0.35,1.0,schwarz_exterior,-0.0021472244730784,-0.3099936371490989,-0.0021513859791539,1.000504737645645,0.0005047376456450703,0.0048460511169192,0.48460511169191994,0.0001469289758482,0.1373764659166351,13.73764659166351,0.0010695352720562,0.0014735499165877,21732600,43046721,0.5048607535054761,257.3004746437073
N91_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,91,91,pg_horizon,0.35,1.0,schwarz_exterior,-0.0017982127266152,-0.3406031044494721,-0.0018014185234459,1.0004569737215838,0.0004569737215838199,0.0045693361514164,0.45693361514163994,0.0001156535522554,0.1093834314151264,10.93834314151264,0.0010573224002868,0.0014393968370554,35369180,68574961,0.515773971785416,620.4076266288757
