timestamp,pid,comm,state,vmrss_kib,vmswap_kib,vmsize_kib,vmhwm_kib,vmpeak_kib,majflt,memavailable_kib,system_swap_used_kib,pswpin_pages,pswpout_pages
2026-07-18T01:39:01-04:00,1806807,python,R,11940,0,21104,13024,22468,2,250479140,1068816,90266526,114065903
2026-07-18T01:39:06-04:00,1806807,python,R,11661908,0,14386036,11661908,14386036,279,238880940,1068816,90266540,114065903
2026-07-18T01:39:11-04:00,1806807,python,R,55379160,0,85710236,57678632,88011020,279,194236356,1068816,90266546,114065903
2026-07-18T01:39:16-04:00,1806807,python,R,83707692,0,115567604,85237688,115567604,279,166631452,1068816,90266549,114065903
2026-07-18T01:39:21-04:00,1806807,python,R,92178176,0,265153480,94477788,265153480,279,158234988,1068816,90266549,114065903
2026-07-18T01:39:26-04:00,1806807,python,R,99078764,0,265153480,99078764,265153480,279,151331720,1068800,90266565,114065903
2026-07-18T01:39:31-04:00,1806807,python,R,103680620,0,265153480,103680620,265153480,279,146726572,1068800,90266572,114065903
2026-07-18T01:39:36-04:00,1806807,python,R,108716092,0,265153480,110583260,265153480,279,141266736,1068612,90266617,114065903
2026-07-18T01:39:41-04:00,1806807,python,R,115184236,0,265153480,115184236,265153480,279,135220700,1068612,90266621,114065903
2026-07-18T01:39:46-04:00,1806807,python,R,120223804,0,265153480,122086828,265153480,279,130056528,1068612,90266624,114065903
2026-07-18T01:39:51-04:00,1806807,python,R,126689900,0,265153480,126689900,265153480,279,123710152,1068612,90266631,114065903
2026-07-18T01:39:56-04:00,1806807,python,R,131734124,0,265153480,131779180,265153480,279,118593472,1068612,90266635,114065903
2026-07-18T01:40:01-04:00,1806807,python,R,137240636,0,265153480,138192348,265153480,279,113028296,1068612,90266644,114065903
2026-07-18T01:40:06-04:00,1806807,python,R,142795372,0,265153480,142795372,265153480,279,107677384,1068612,90266649,114065903
2026-07-18T01:40:11-04:00,1806807,python,R,147396352,0,265153480,149695980,265153480,279,103207328,1068612,90266651,114065903
2026-07-18T01:40:16-04:00,1806807,python,R,154298988,0,265153480,154298988,265153480,279,96401968,1068612,90266651,114065903
2026-07-18T01:40:21-04:00,1806807,python,R,158899968,0,265153480,161199596,265153480,279,91868408,1068612,90266660,114065903
2026-07-18T01:40:26-04:00,1806807,python,R,163614780,0,265153480,165801452,265153480,279,86639404,1068612,90266664,114065903
2026-07-18T01:40:31-04:00,1806807,python,R,170404460,0,265153480,170404460,265153480,279,80453900,1068612,90266665,114065903
2026-07-18T01:40:36-04:00,1806807,python,R,175718460,0,265153480,177305068,265153480,279,75040024,1068612,90266666,114065903
2026-07-18T01:40:41-04:00,1806807,python,R,181908076,0,265153480,181908076,265153480,279,69021052,1068612,90266666,114065903
2026-07-18T01:40:46-04:00,1806807,python,R,186509056,0,265153480,188808684,265153480,279,64424920,1068612,90266674,114065903
2026-07-18T01:40:51-04:00,1806807,python,R,193411692,0,265153480,193411692,265153480,279,57528304,1068612,90266676,114065903
2026-07-18T01:40:56-04:00,1806807,python,R,198012672,0,265153480,200312316,265153480,279,52939076,1068612,90266685,114065903
2026-07-18T01:41:01-04:00,1806807,python,R,204915260,0,265153480,204915260,265153480,279,46088568,1068612,90266691,114065903
2026-07-18T01:41:06-04:00,1806807,python,R,209517116,0,265153480,209517116,265153480,279,41472628,1068612,90266692,114065903
2026-07-18T01:41:11-04:00,1806807,python,R,214379324,0,265153480,216417788,265153480,279,36490440,1068612,90266694,114065903
2026-07-18T01:41:16-04:00,1806807,python,R,221020492,0,265153480,221020492,265153480,279,29940672,1068612,90266704,114065903
2026-07-18T01:41:21-04:00,1806807,python,R,225621248,0,265153480,227921132,265153480,279,25326508,1068612,90266710,114065903
