cell_index,status,elapsed_seconds,current_rss_before_kib,current_rss_after_kib,max_rss_before_kib,max_rss_after_kib,array_bytes_after,array_count_after
1,PASS,0.48674511909484863,76820,139512,75720,138204,0,0
3,PASS,0.014897823333740234,139516,139552,138204,138460,0,0
5,PASS,0.014362573623657227,139560,139576,138460,138460,0,0
7,PASS,0.014927864074707031,139588,139716,138460,138972,0,0
9,PASS,915.8823509216309,139720,241334876,138972,249818672,360467903304,12
11,PASS,4.226383686065674,241334992,241335208,249818672,249818672,360467903304,12
12,PASS,1.5975637435913086,241335216,243575496,249818672,249818672,362823902672,13
14,PASS,714.3260750770569,243575496,246629600,249818672,249818672,506539864120,20
15,PASS,3.8864245414733887,246629668,244221628,249818672,249818672,508895863488,21
17,PASS,659.7345833778381,244221628,232416932,249818672,249818672,591855355944,33
18,PASS,2636.9051790237427,232416960,169662860,249818672,249818672,591855355944,33
19,PASS,0.04325222969055176,169662908,169664904,249818672,249818672,591855355944,33
21,PASS,0.019637107849121094,169664908,169665140,249818672,249818672,591855355944,33
23,PASS,3378.9337372779846,169665228,195072260,249818672,249818672,427180805696,29
24,PASS,603.1279873847961,195072312,160357268,249818672,249818672,427180666312,26
