metric,N71_dtau_0p02,N71_dtau_0p04,N81_dtau_0p02,N81_dtau_0p04,N71_fine_vs_baseline_percent,N81_fine_vs_baseline_percent,N71_dtau_absolute_effect,N81_dtau_absolute_effect,spatial_N71_to_N81_at_0p04_percent,spatial_N71_to_N81_at_0p02_percent,N81_dtau_to_spatial_effect_ratio,dtau_effect_amplification_N81_over_N71
relative_Bianchi_residual,0.004538437626932157,0.004538437626932157,0.0035299983833249567,0.0035299983833249567,0.0,0.0,0.0,0.0,-22.219964809538965,-22.219964809538965,0.0,
rho_relative_peak_error,0.037033850908382716,0.037033850908382716,0.02858669536805789,0.02858669536805789,0.0,0.0,0.0,0.0,-22.809282138176968,-22.809282138176968,0.0,
Hessian_Q_normalized_residual,0.01554677525624942,0.015545047560557315,0.013575511919485674,0.01357449810639878,0.011114122908753948,0.007468512492672979,1.7276956921045972e-06,1.0138130868940498e-06,-12.67638099196583,-12.679564117139643,0.0005144824377559041,0.5868007262662505
HTR_normalized_residual,0.012707843162109761,0.012705486513730447,0.010243528374845235,0.010241875755526996,0.018548273431066593,0.016135904766729662,2.3566483793140136e-06,1.65261931823861e-06,-19.39013319593153,-19.39207744247451,0.0006708118613038353,0.7012583348219575
lambda_fit,0.01604866860899526,0.016046992783419523,0.016229173607843074,0.016227418581089042,0.010443237548329792,0.010815193712186557,1.6758255757358398e-06,1.7550267540321352e-06,1.1243589381802597,1.124735037189578,0.009727138672523832,1.0472609915035571
beta_fit,-1.0342945160505408,-1.0342960186715253,-1.0365116714799611,-1.0365130131338942,0.0001452795870236587,0.00012943917886818577,1.5026209845281358e-06,1.3416539330624033e-06,-0.2143481578142836,-0.21436403219912437,0.0006051679225345584,0.8928758129141392
action_over_fit,1.0000039506347518,1.0000040192679722,1.0000243158036328,1.0000244510928271,-6.8632944586065756e-06,-1.352858864040766e-05,-6.863322044026177e-08,-1.3528919429184327e-07,0.0020431742734244845,0.0020365088426016393,0.006621493442346021,1.9711911145069865
action_fit_tensor_difference_percent,0.029447829361768825,0.029452344399313043,0.030528168995825212,0.03053278869846761,-0.01532997673463006,-0.015130300373212736,-4.515037544217809e-06,-4.6197026423965e-06,3.668449222601669,3.6686562557271447,0.00427574345666071,1.0231814458138295
action_residual_penalty_percent,0.0003950634751781479,0.00040192679722217406,0.002431580363282393,0.0024451092827115772,-1.7076049896300698,-0.5533053072450417,-6.863322044026177e-06,-1.3528919429184327e-05,508.34691779955847,515.4910580346383,0.006621493442346021,1.9711911145069865
HTR_improvement_over_H,0.43018674559742853,0.4301795516876008,0.43279045945005734,0.4327826333282817,0.00167230399481049,0.0018083262064948163,7.193909827729605e-06,7.826121775633688e-06,0.6051151502829403,0.605251993297204,0.00300648341309286,1.0878815502339438
