candidate,lambda,beta,Q_L2,C_L2,C_over_Q,normalized_residual,rank
"HTR lambda_fit=0.0166235, beta_fit=-1.04068",0.016623501191294427,-1.0406792509205383,0.021552500135807232,0.00013502228902385376,0.006264808638118429,0.006264808638118429,1
R beta_fit=-1.04068,0.0,-1.0406792509205383,0.021571366351815356,0.00014383311754483753,0.006667779648215614,0.006667779648215614,2
HT lambda_fit=0.0166235,0.016623501191294427,0.0,0.02152542191321069,0.00022170578567253394,0.010299718470859219,0.010299718470859219,3
H,0.0,0.0,0.021544307926112935,0.0002339011170346514,0.010856747770075727,0.010856747770075727,4
