case,lambda,beta,Q_L2,C_L2,normalized_residual,relative_tensor_difference_vs_fit
Best fitted HTR,0.015789560482987477,-1.0306645653775017,0.02033491306716674,0.00033785259944027647,0.01661441080787219,0.0
Action-predicted beta=-1,0.015789560482987477,-1.0,0.020333984558407976,0.0003378448299603086,0.01661478737676192,0.00027417084425789484
Difference action - fit,,0.03066456537750173,5.575240283536002e-06,5.241983030007236e-06,0.940225490457713,0.00027417084425789484
