section,rank,relation,cheb_distance,tile_id,t0,t1,x0,x1,y0,y1,z0,z1,n,rho_peak_err,rho_peak_ref,rho_tile_ratio,rho_abs_sum,file
global_top_ratio,23,,,81107,207,216,248,279,155,186,153,162,53449,0.00037963247038166203,0.000822989902763936,0.46128448126362337,0.0001481215136857508,N301_v1_sigma4_R3/tiles/tile081107_t207-216_x248-279_y155-186_z153-162.score.json
global_top_ratio,24,,,70872,180,189,248,279,124,155,144,153,51562,0.00016555702967799377,0.0003609882966445406,0.4586215985861036,4.41678864767627e-05,N301_v1_sigma4_R3/tiles/tile070872_t180-189_x248-279_y124-155_z144-153.score.json
global_top_ratio,25,,,85492,225,234,31,62,124,155,144,153,51448,0.00016192230973821232,0.00035508717651078653,0.4560072017506202,4.3400556652057495e-05,N301_v1_sigma4_R3/tiles/tile085492_t225-234_x31-62_y124-155_z144-153.score.json
global_top_ratio,26,,,77671,198,207,248,279,124,155,135,144,53937,0.00028870732077109884,0.0006349545163525948,0.45468976648837256,0.00011499796962643918,N301_v1_sigma4_R3/tiles/tile077671_t198-207_x248-279_y124-155_z135-144.score.json
global_top_ratio,27,,,78691,207,216,31,62,124,155,135,144,53830,0.0002841165730957825,0.000625570139568774,0.454172210476084,0.00011314919130238487,N301_v1_sigma4_R3/tiles/tile078691_t207-216_x31-62_y124-155_z135-144.score.json
global_top_ratio,28,,,74307,189,198,248,279,155,186,153,162,49853,0.00021809227533480929,0.00048228000014919166,0.4522109050081761,8.102014599131976e-05,N301_v1_sigma4_R3/tiles/tile074307_t189-198_x248-279_y155-186_z153-162.score.json
global_top_ratio,29,,,75291,198,207,31,62,124,155,135,144,55649,0.0003657212565431722,0.0008115486667019717,0.4506461184015197,0.0001504348531598623,N301_v1_sigma4_R3/tiles/tile075291_t198-207_x31-62_y124-155_z135-144.score.json
global_top_ratio,30,,,82127,216,225,31,62,155,186,153,162,49769,0.00021388397172194932,0.000474766279073981,0.4505037134042551,7.961945581656209e-05,N301_v1_sigma4_R3/tiles/tile082127_t216-225_x31-62_y155-186_z153-162.score.json
global_top_ratio,31,,,81071,207,216,248,279,124,155,135,144,55747,0.0003700215326167233,0.000822989902763932,0.4496064063168233,0.00015276669238165313,N301_v1_sigma4_R3/tiles/tile081071_t207-216_x248-279_y124-155_z135-144.score.json
global_top_ratio,32,,,70873,180,189,248,279,124,155,153,162,51080,0.00016106849468144085,0.0003609882966445406,0.44618758053544993,5.2772398200271675e-05,N301_v1_sigma4_R3/tiles/tile070873_t180-189_x248-279_y124-155_z153-162.score.json
