metric,N61,N81,percent_change,two_grid_zero_limit_effective_exponent,formal_three_grid_order
relative_Bianchi_residual,0.006031912101890444,0.0035299983833249567,-41.47795386112092,1.8623567367341518,not available
rho_relative_peak_error,0.04964638263844123,0.02858669536805789,-42.419379119228736,1.9187296352315766,not available
Hessian_Q_normalized_residual,0.018923608329206223,0.01357449810639878,-28.26686184659487,1.1548073345367635,not available
HTR_normalized_residual,0.01661441080787198,0.010241875755526996,-38.35546818985389,1.6816677296215519,not available
