timestamp,pid,state,vmrss_kib,vmswap_kib,memavailable_kib,system_swap_used_kib
2026-07-17T20:25:49-04:00,1744775,S,1640,0,250032016,0
2026-07-17T20:25:54-04:00,1744775,S,1640,0,222269248,0
2026-07-17T20:25:59-04:00,1744775,S,1640,0,214100020,0
2026-07-17T20:26:04-04:00,1744775,S,1640,0,208399084,0
2026-07-17T20:26:09-04:00,1744775,S,1640,0,202693824,0
2026-07-17T20:26:14-04:00,1744775,S,1640,0,196994728,0
2026-07-17T20:26:19-04:00,1744775,S,1640,0,191294128,0
2026-07-17T20:26:24-04:00,1744775,S,1640,0,186336972,0
2026-07-17T20:26:29-04:00,1744775,S,1640,0,180236164,0
2026-07-17T20:26:34-04:00,1744775,S,1640,0,174958052,0
2026-07-17T20:26:39-04:00,1744775,S,1640,0,169229384,0
2026-07-17T20:26:44-04:00,1744775,S,1640,0,175777580,0
2026-07-17T20:26:49-04:00,1744775,S,1640,0,174958380,0
2026-07-17T20:26:54-04:00,1744775,S,1640,0,173867048,0
2026-07-17T20:26:59-04:00,1744775,S,1640,0,172705340,0
2026-07-17T20:27:04-04:00,1744775,S,1640,0,171029940,0
2026-07-17T20:27:09-04:00,1744775,S,1640,0,171001932,0
2026-07-17T20:27:14-04:00,1744775,S,1640,0,170193676,0
2026-07-17T20:27:19-04:00,1744775,S,1640,0,169369820,0
2026-07-17T20:27:24-04:00,1744775,S,1640,0,168561216,0
2026-07-17T20:27:29-04:00,1744775,S,1640,0,167770296,0
2026-07-17T20:27:34-04:00,1744775,S,1640,0,166209328,0
2026-07-17T20:27:39-04:00,1744775,S,1640,0,165252032,0
2026-07-17T20:27:44-04:00,1744775,S,1640,0,164535328,0
2026-07-17T20:27:49-04:00,1744775,S,1640,0,163765472,0
2026-07-17T20:27:54-04:00,1744775,S,1640,0,162557420,0
2026-07-17T20:27:59-04:00,1744775,S,1640,0,161243016,0
2026-07-17T20:28:04-04:00,1744775,S,1640,0,136059608,0
2026-07-17T20:28:09-04:00,1744775,S,1640,0,135976168,0
2026-07-17T20:28:14-04:00,1744775,S,1640,0,134050116,0
2026-07-17T20:28:19-04:00,1744775,S,1640,0,133525356,0
2026-07-17T20:28:24-04:00,1744775,S,1640,0,132870784,0
2026-07-17T20:28:29-04:00,1744775,S,1640,0,127486380,0
2026-07-17T20:28:34-04:00,1744775,S,1640,0,120597516,0
2026-07-17T20:28:39-04:00,1744775,S,1640,0,113977544,0
2026-07-17T20:28:44-04:00,1744775,S,1640,0,101762092,0
2026-07-17T20:28:49-04:00,1744775,S,1640,0,84642560,0
2026-07-17T20:28:54-04:00,1744775,S,1640,0,83851772,0
2026-07-17T20:28:59-04:00,1744775,S,1640,0,83174092,0
2026-07-17T20:29:04-04:00,1744775,S,1640,0,82365528,0
2026-07-17T20:29:09-04:00,1744775,S,1640,0,81571848,0
2026-07-17T20:29:14-04:00,1744775,S,1640,0,70942188,0
2026-07-17T20:29:19-04:00,1744775,S,1640,0,48688568,0
2026-07-17T20:29:24-04:00,1744775,S,1640,0,37924676,0
2026-07-17T20:29:29-04:00,1744775,S,1640,0,26777240,0
2026-07-17T20:29:34-04:00,1744775,S,1640,0,26010596,0
2026-07-17T20:29:39-04:00,1744775,S,1640,0,25139640,0
2026-07-17T20:29:44-04:00,1744775,S,1640,0,23833628,0
2026-07-17T20:29:49-04:00,1744775,S,1640,0,52439812,0
2026-07-17T20:29:54-04:00,1744775,S,1640,0,28100340,0
2026-07-17T20:29:59-04:00,1744775,S,1640,0,27031716,0
2026-07-17T20:30:04-04:00,1744775,S,1640,0,26226164,0
2026-07-17T20:30:09-04:00,1744775,S,1640,0,24616676,0
2026-07-17T20:30:15-04:00,1744775,S,1640,0,23783204,0
2026-07-17T20:30:20-04:00,1744775,S,1640,0,50723620,0
2026-07-17T20:30:25-04:00,1744775,S,1640,0,27050096,0
2026-07-17T20:30:30-04:00,1744775,S,1640,0,27189372,0
2026-07-17T20:30:35-04:00,1744775,S,1640,0,26229764,0
2026-07-17T20:30:40-04:00,1744775,S,1640,0,24586512,0
2026-07-17T20:30:45-04:00,1744775,S,1640,0,23798636,0
2026-07-17T20:30:50-04:00,1744775,S,1640,0,50726548,0
2026-07-17T20:30:55-04:00,1744775,S,1640,0,40904624,0
2026-07-17T20:31:00-04:00,1744775,S,1640,0,27191980,0
2026-07-17T20:31:05-04:00,1744775,S,1640,0,26246212,0
2026-07-17T20:31:10-04:00,1744775,S,1640,0,25427564,0
2026-07-17T20:31:15-04:00,1744775,S,1640,0,24624548,0
2026-07-17T20:31:20-04:00,1744775,S,1640,0,23998772,0
2026-07-17T20:31:25-04:00,1744775,S,1640,0,44149156,0
2026-07-17T20:31:30-04:00,1744775,S,1640,0,27151188,0
2026-07-17T20:31:35-04:00,1744775,S,1640,0,25933236,0
2026-07-17T20:31:40-04:00,1744775,S,1640,0,25455484,0
2026-07-17T20:31:45-04:00,1744775,S,1640,0,24640364,0
2026-07-17T20:31:50-04:00,1744775,S,1640,0,23896888,0
2026-07-17T20:31:55-04:00,1744775,S,1640,0,51685316,0
2026-07-17T20:32:00-04:00,1744775,S,1640,0,44208228,0
2026-07-17T20:32:05-04:00,1744775,S,1640,0,47215492,0
2026-07-17T20:32:10-04:00,1744775,S,1640,0,18948372,0
2026-07-17T20:32:15-04:00,1744775,S,1640,0,18006668,0
2026-07-17T20:32:20-04:00,1744775,S,1640,0,16977700,0
2026-07-17T20:32:25-04:00,1744775,S,1640,0,16286676,0
2026-07-17T20:32:30-04:00,1744775,S,1640,0,15241348,0
2026-07-17T20:32:35-04:00,1744775,S,1640,0,43099460,0
2026-07-17T20:32:40-04:00,1744775,S,1640,0,18475144,0
2026-07-17T20:32:45-04:00,1744775,S,1640,0,18714468,0
2026-07-17T20:32:50-04:00,1744775,S,1640,0,17725328,0
2026-07-17T20:32:55-04:00,1744775,S,1640,0,16061468,0
2026-07-17T20:33:00-04:00,1744775,S,1640,0,15517164,0
2026-07-17T20:33:05-04:00,1744775,S,1640,0,41381320,0
2026-07-17T20:33:10-04:00,1744775,S,1640,0,18525908,0
2026-07-17T20:33:15-04:00,1744775,S,1640,0,18461612,0
2026-07-17T20:33:20-04:00,1744775,S,1640,0,16174512,0
2026-07-17T20:33:25-04:00,1744775,S,1640,0,15995012,0
2026-07-17T20:33:30-04:00,1744775,S,1640,0,15185948,0
2026-07-17T20:33:35-04:00,1744775,S,1640,0,41349996,0
2026-07-17T20:33:40-04:00,1744775,S,1640,0,31549732,0
2026-07-17T20:33:45-04:00,1744775,S,1640,0,18445372,0
2026-07-17T20:33:50-04:00,1744775,S,1640,0,17620192,0
2026-07-17T20:33:55-04:00,1744775,S,1640,0,16958340,0
2026-07-17T20:34:00-04:00,1744775,S,1560,0,15016688,0
2026-07-17T20:34:05-04:00,1744775,S,1560,0,44287340,0
2026-07-17T20:34:10-04:00,1744775,S,1560,0,34786200,0
2026-07-17T20:34:15-04:00,1744775,S,1560,0,18511504,0
2026-07-17T20:34:20-04:00,1744775,S,1560,0,17695908,0
2026-07-17T20:34:25-04:00,1744775,S,1560,0,16955500,0
2026-07-17T20:34:30-04:00,1744775,S,1560,0,15870012,0
2026-07-17T20:34:35-04:00,1744775,S,1560,0,15328220,0
2026-07-17T20:34:40-04:00,1744775,S,1560,0,78764660,0
2026-07-17T20:34:45-04:00,1744775,S,1560,0,57719496,0
2026-07-17T20:34:50-04:00,1744775,S,1560,0,57821308,0
2026-07-17T20:34:55-04:00,1744775,S,1560,0,56903932,0
2026-07-17T20:35:00-04:00,1744775,S,1560,0,55265272,0
2026-07-17T20:35:05-04:00,1744775,S,1560,0,54466752,0
2026-07-17T20:35:11-04:00,1744775,S,1560,0,81325432,0
2026-07-17T20:35:16-04:00,1744775,S,1560,0,71563824,0
2026-07-17T20:35:21-04:00,1744775,S,1560,0,57841720,0
2026-07-17T20:35:26-04:00,1744775,S,1560,0,56853916,0
2026-07-17T20:35:31-04:00,1744775,S,1560,0,56037804,0
2026-07-17T20:35:36-04:00,1744775,S,1560,0,55374232,0
2026-07-17T20:35:41-04:00,1744775,S,1560,0,54579212,0
2026-07-17T20:35:46-04:00,1744775,S,1560,0,57679232,0
2026-07-17T20:35:51-04:00,1744775,S,1560,0,56824400,0
2026-07-17T20:35:56-04:00,1744775,S,1560,0,56102804,0
2026-07-17T20:36:01-04:00,1744775,S,1560,0,55288668,0
2026-07-17T20:36:06-04:00,1744775,S,1560,0,54475436,0
