candidate,lambda,beta,Q_L2,C_L2,C_over_Q,normalized_residual,rank
"HTR lambda_fit=0.0157896, beta_fit=-1.03066",0.015789560482987477,-1.0306645653775017,0.02033491306716674,0.00033785259944027647,0.01661441080787219,0.01661441080787219,1
R beta_fit=-1.03066,0.0,-1.0306645653775017,0.0203546667448061,0.00033932048550496533,0.016670402407425792,0.016670402407425792,2
HT lambda_fit=0.0157896,0.015789560482987477,0.0,0.02030452074402288,0.0003795873268215079,0.018694719841306693,0.018694719841306693,3
H,0.0,0.0,0.020324296844360636,0.0003846090330492027,0.018923608329206223,0.018923608329206223,4
