label,description,N,v_s,tile_t,tile_x,tile_y,tile_z,halo,wall_k,mask_points,bianchi,rho_relative_peak_error,beta_fit,action_over_fit,relative_tensor_difference,eta_needed,elapsed_seconds,delta_beta_fit,delta_action_over_fit,delta_relative_tensor_difference,delta_bianchi,delta_rho_relative_peak_error
C0_baseline_tile41_halo4_wallk3p0,C0 baseline: tile41 halo4 wall_k=3.0,141,1.0,9,41,41,9,4,3.0,65578936,0.12887186350287486,0.13956679925078103,-0.987201909548335,1.0000368063192562,0.00023701765382795704,4.033880790101279e-05,18288.188641309738,0.0,0.0,0.0,0.0,0.0
C1_tile_size_51_51_11_halo4_wallk3p0,C1 tile-size: tile51/51/11 halo4 wall_k=3.0,141,1.0,11,51,51,11,4,3.0,65578936,0.1288718635028725,0.1395667992507814,-0.9872019095483319,1.000036806319257,0.00023701765382801474,4.033880790101279e-05,13997.498525857925,3.1086244689504383e-15,8.881784197001252e-16,5.770666063054097e-17,-2.3592239273284576e-15,3.608224830031759e-16
C2_halo6_tile41_wallk3p0,C2 halo sensitivity: tile41 halo6 wall_k=3.0,141,1.0,9,41,41,9,6,3.0,65578936,0.12887186350287394,0.1395667992507808,-0.9872019095483247,1.0000368063192557,0.00023701765382814932,4.0338807901012805e-05,31471.697959899902,1.0325074129013956e-14,-4.440892098500626e-16,1.922832552903042e-16,-9.159339953157541e-16,-2.220446049250313e-16
C3_wallk2p5_tile41_halo4,C3a wall shell: wall_k=2.5,141,1.0,9,41,41,9,4,2.5,54316638,0.12897271206916922,0.13956679925078103,-0.9871847894083586,1.0000368556090602,0.00023733822415435203,4.052940972944695e-05,18431.822692632675,1.7120139976345428e-05,4.928980401608385e-08,3.205703263949944e-07,0.00010084856629435923,0.0
C3_wallk3p5_tile41_halo4,C3b wall shell: wall_k=3.5,141,1.0,9,41,41,9,4,3.5,77082102,0.1288574721432898,0.13956679925078103,-0.9872022344908904,1.0000368053839606,0.00023701155917332938,4.0310187603769676e-05,18393.880964279175,-3.2494255541859474e-07,-9.35295618731402e-10,-6.094654627654926e-09,-1.439135958505866e-05,0.0
