case,lambda,beta,Q_L2,C_L2,normalized_residual,relative_tensor_difference_vs_fit
Best fitted HTR,0.016623501191294427,-1.0406792509205383,0.021552500135807232,0.00013502228902385376,0.006264808638118429,0.0
Action-predicted beta=-1,0.016623501191294427,-1.0,0.021551414855372833,0.00013510634144253477,0.006269024207886395,0.00032192409883946864
Difference action - fit,,0.04067925092053826,6.938269183957269e-06,6.9459817366956604e-06,1.0011115960672474,0.00032192409883946864
