case,lambda,beta,Q_L2,C_L2,normalized_residual,relative_tensor_difference_vs_fit
Best fitted HTR,0.016579809465662263,-1.0402591753867252,0.0215252397886984,0.00014085994162422563,0.006543942971459145,0.0
Action-predicted beta=-1,0.016579809465662263,-1.0,0.02152415742180788,0.000140926445046879,0.006547361751967812,0.0003204864949125123
Difference action - fit,,0.04025917538672519,6.898548652031297e-06,6.885080750959962e-06,0.998047719636308,0.0003204864949125123
